,name,precision,recall,f1,auc
0,normal / no indexing,0.5329341317365269,0.7705627705627706,0.6300884955752212,0.7112234356552538
1,cardiomegaly,0.25,0.4772727272727273,0.328125,0.7734862540057346
2,scoliosis / degenerative,0.16451612903225807,0.6375,0.26153846153846155,0.5768141153081511
3,fractures bone,0.05426356589147287,0.5833333333333334,0.09929078014184396,0.7088441330998247
4,pleural effusion,0.07272727272727272,0.4444444444444444,0.125,0.8109144542772861
5,thickening,0.018518518518518517,0.16666666666666666,0.03333333333333333,0.48931253610629694
6,pneumothorax,0.0,0.0,0.0,0.5678160919540229
7,hernia hiatal,0.036036036036036036,0.6666666666666666,0.06837606837606838,0.743212016175621
8,calcinosis,0.09183673469387756,0.7105263157894737,0.16265060240963855,0.6321100917431193
9,emphysema / pulmonary emphysema,0.059322033898305086,0.8235294117647058,0.1106719367588933,0.8163583454583248
10,pneumonia / infiltrate / consolidation,0.048484848484848485,0.5333333333333333,0.08888888888888889,0.652112676056338
11,pulmonary edema,0.0,0.0,0.0,0.6629116117850953
12,pulmonary atelectasis,0.11274509803921569,0.5348837209302325,0.18623481781376516,0.6534022394487511
13,cicatrix,0.07142857142857142,0.6923076923076923,0.12949640287769784,0.6750448833034112
14,opacity,0.2926829268292683,0.35294117647058826,0.32,0.6716733295259851
15,nodule / mass,0.03977272727272727,0.4117647058823529,0.07253886010362694,0.555393889004365
16,airspace disease,0.07692307692307693,0.3,0.12244897959183675,0.633214920071048
17,hypoinflation / hyperdistention,0.22105263157894736,0.7777777777777778,0.3442622950819672,0.6881609365009098
18,catheters indwelling / surgical instruments / tube inserted / medical device,0.14049586776859505,0.4146341463414634,0.20987654320987653,0.6759067590675907
19,other,0.10421836228287841,0.711864406779661,0.1818181818181818,0.5143938413766335
